Report generated on: 12-14-2020 11:28:29
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-WORL-BKWH.A","    Generation (billion kWh)","8017.580363623","8072.967338026","8254.632487372","8593.05068568","9084.093366921","9459.937120447","9656.19495201","10095.939667189","10528.871178116","11057.936086909","11303.643337","11543.239885","11624.261204","11897.078096","12173.541388","12607.915362","12990.551621","13316.897283","13669.912498","14010.24581","14656.992436748","14909.207522383134","15424.231863725","15960.627506126333","16727.871054375166","17375.325063476","18069.43468598","18923.560336037","19208.242461469","19146.929239295","20459.479142259","21179.590855506","21632.034920827","22333.305266964","22736.83794198","23170.59545745","23828.18136061","24451.73526175","25398.00885187",""
"INTL.27-12-WORL-BKWH.A","        Nuclear (billion kWh)","684.380574603","778.641502665","866.422247888","981.725118693","1196.853548542","1425.536726829","1517.664062921","1653.977382261","1794.846047497","1843.388716909","1908.806678","1996.140087","2015.603263","2081.626214","2125.159832","2210.046123","2291.532546","2271.307171","2316.009104","2393.132124","2449.88949","2516.88629","2545.623087","2517.747695","2618.889457","2624.976965","2659.758916","2608.0458812","2597.338555","2560.01926","2629.70970056","2517.744977","2344.806699","2364.165143","2408.924982","2440.497877","2468.765498","2484.453995","2544.120477","2657.196852"
"INTL.28-12-WORL-BKWH.A","        Fossil fuels (billion kWh)","5589.087457247","5525.835179607","5563.550443214","5702.973330175","5913.009260895","6040.896362318","6101.269752444","6396.221663322","6609.668039476","7051.691943","7136.259665","7238.182931","7281.339811","7359.417008","7560.90258","7787.477429","8047.731207","8326.581913","8616.803197","8824.302781","9339.8566805","9566.136949199134","9986.3024825","10510.757821333333","10966.98992819","11449.18510072","11964.34960514","12769.79099565","12858.73148278","12685.30737697","13620.68641061","14240.35088039","14549.01935866","14897.83399678","15024.71370588","15205.63543395","15430.9151962","15694.48732914","16148.37328774",""
"INTL.29-12-WORL-BKWH.A","        Renewables (billion kWh)","1753.891331773","1779.383655754","1833.16979627","1918.085236812","1985.493557484","2006.1850313","2051.169136645","2061.348621606","2140.631091143","2177.278427","2278.516735","2327.984302","2345.249712","2475.982446","2506.939801","2631.961941","2674.508946","2744.922104","2762.072477","2819.102804","2894.753126248","2855.609728184","2924.405222225","2961.949054793","3170.963879185167","3330.430785736","3473.41900684","3574.119811187","3777.818485689","3924.969947325","4237.263163089","4450.091514126","4765.894359167","5099.305160184","5333.2388021","5553.5096345","5965.97879341","6312.81748561","6743.71882413",""
"INTL.33-12-WORL-BKWH.A","            Hydroelectricity (billion kWh)","1722.880089788","1746.76266412","1790.200012892","1871.968855398","1933.89336471","1951.99753754","1991.715219027","1996.13909314","2072.535803402","2059.912936","2144.497846","2183.127189","2188.171003","2313.527008","2336.503733","2453.206748","2489.662063","2545.822295","2551.094661","2592.418029","2623.042039","2568.150614","2606.112109","2617.113124","2787.6537448011672","2907.03076129","3008.24317174","3050.35950202","3173.76042316","3230.79827122","3405.34871942","3465.81317351","3626.6633334","3757.21135081","3828.17495593","3842.5372739","3989.76209413","4018.99163968","4155.57881582",""
"INTL.34-12-WORL-BKWH.A","            Non-hydroelectric renewables (billion kWh)","31.011241985","32.620991634","42.969783378","46.116381414","51.600192774","54.18749376","59.453917618","65.209528466","68.095287741","117.365491","134.018889","144.857113","157.078709","162.455438","170.436068","178.755193","184.846883","199.099809","210.977816","226.684775","271.711087248","287.459114184","318.293113225","344.835930793","383.310134384","423.400024446","465.1758351","523.760309167","604.058062529","694.171676105","831.914443669","984.278340616","1139.231025767","1342.093809374","1505.06384617","1710.9723606","1976.21669928","2293.82584593","2588.14000831",""
"INTL.35-12-WORL-BKWH.A","                Geothermal (billion kWh)","13.236079416","14.642162688","15.655864896","17.783101212","20.24650396","22.298230178","24.877954378","26.680461111","27.212078871","32.855443","35.820271","37.061444","38.196962","39.172565","39.026453","38.252258","40.689684","42.127102","44.705918","47.883013","51.563158","51.164601","51.95431","53.665231","55.84917455","56.59094521","57.997429","60.63261302","63.26897656","65.31965802","64.56421314","65.472068","65.96352562","67.22617411","71.73144102","75.71677501","77.26700702","79.67997424","83.03083402","85.97551701"
"INTL.36-12-WORL-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0.47","0.53","0.57","0.57","0.584247924","0.601630157","0.606031952","0.58149706","0.57109415","0.828601","1.006087","1.108765","1.08364","1.141452","1.189622","1.234821","1.271205","1.337168","1.427473","1.504082","22.904521248","23.341749154","23.740782165","27.0860513","30.160933001","34.493407073","32.889798787","33.929008224","36.283870289","46.428852585","61.455691359","94.457594386","132.055854557","176.292485284","231.08840263","289.92492893","371.75407677","489.21383962","601.18255912","725.39079452"
"INTL.117-12-WORL-BKWH.A","                    Tide and wave (billion kWh)","0.47","0.53","0.57","0.57","0.578","0.59","0.59","0.57","0.56","0.56","0.601","0.614","0.608","0.586","0.592","0.598","0.577","0.6","0.62","0.61","21.701","21.842","21.865","24.746","27.173","30.333","27.205","26.253","23.697","25.497","27.99","28.275","28.264","29.667","29.473","27.021","27.1661","27.776","26.252","26.754"
"INTL.116-12-WORL-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0.006247924","0.011630157","0.016031952","0.01149706","0.01109415","0.268601","0.405087","0.494765","0.47564","0.555452","0.597622","0.636821","0.694205","0.737168","0.807473","0.894082","1.203521248","1.499749154","1.875782165","2.3400513","2.987933001","4.160407073","5.684798787","7.676008224","12.586870289","20.931852585","33.465691359","66.182594386","103.791854557","146.625485284","201.61540263","262.90392893","344.58797677","461.43783962","574.93055912","698.63679452"
"INTL.37-12-WORL-BKWH.A","                Wind (billion kWh)","0","0","0","0.029667962","0.050490252","0.072761883","0.14918872","0.205541414","0.342871014","2.598043","3.5356","4.096951","4.611523","5.557827","7.285109","7.936253","9.289069","12.135035","16.108696","21.241998","31.364314","38.367365","52.766363","64.306051483","84.136272203","104.020903533","131.829787473","170.565478913","220.29993908","276.05409674","339.52415612","434.40607867","521.27202289","643.65206546","714.05780186","827.66407778","956.16038216","1124.74524524","1265.46627373","1419.47440887"
"INTL.38-12-WORL-BKWH.A","                Biomass and waste (billion kWh)","17.305162569","17.448828946","26.743918482","27.73361224","30.718950638","31.214871542","33.820742568","37.742028881","39.969243706","81.083404","93.656931","102.589953","113.186584","116.583594","122.934884","131.331861","133.596925","143.500504","148.735729","156.055682","165.879094","174.58539903","189.83165806","199.77859701","213.16375463","228.29476863","242.45881984","258.63320901","284.2052766","306.36906876","366.37038305","389.94259956","419.9396227","454.92308452","488.18620066","517.66657888","571.03523333","600.18678683","638.46034144",""
"INTL.82-12-WORL-BKWH.A","        Hydroelectric pumped storage (billion kWh)","-9.779","-10.893","-8.51","-9.733","-11.263","-12.681","-13.908","-15.608","-16.274","-14.423","-19.939741","-19.067435","-17.931582","-19.947572","-19.460825","-21.570131","-23.221078","-25.913905","-24.97228","-26.291899","-27.50686","-29.425445","-32.098928","-29.827065","-28.97221","-29.26778798","-28.092842","-28.396352","-25.646062","-23.367345","-28.180132","-28.59651601","-27.685496","-27.999033","-30.039548","-29.047488","-37.478127","-40.023548","-38.203737","-38.020744"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-AFG-BKWH.A","    Generation (billion kWh)","0.942","0.992","0.952","1","1.019","1.034","1.135","1.218","1.08","1.089","1.098","0.989","0.685","0.677","0.669","0.608","0.549","0.499","0.46","0.455","0.467","0.592","0.687","0.939","0.894","0.934","0.837","0.946","0.72801","0.9381","0.9363","0.8473","0.912","1.103","1.154","1.178","1.21","1.256","1.115",""
"INTL.27-12-AFG-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-AFG-BKWH.A","        Fossil fuels (billion kWh)","0.231","0.271","0.245","0.254","0.262","0.264","0.422","0.462","0.336","0.339","0.342","0.306","0.212","0.207","0.202","0.196","0.188","0.177","0.16","0.155","0.155","0.094","0.132","0.309","0.329","0.344","0.2","0.198","0.186","0.162","0.185","0.252","0.174","0.218","0.154","0.144","0.15","0.168","0.15",""
"INTL.29-12-AFG-BKWH.A","        Renewables (billion kWh)","0.711","0.721","0.707","0.746","0.757","0.77","0.713","0.756","0.744","0.75","0.756","0.683","0.473","0.47","0.467","0.412","0.361","0.322","0.3","0.3","0.312","0.498","0.555","0.63","0.565","0.59","0.637","0.748","0.54201","0.7761","0.7513","0.5953","0.738","0.885","1","1.034","1.06","1.088","0.965","0.88"
"INTL.33-12-AFG-BKWH.A","            Hydroelectricity (billion kWh)","0.711","0.721","0.707","0.746","0.757","0.77","0.713","0.756","0.744","0.75","0.756","0.683","0.473","0.47","0.467","0.412","0.361","0.322","0.3","0.3","0.312","0.498","0.555","0.63","0.565","0.59","0.637","0.748","0.542","0.776","0.751","0.595","0.71","0.855","0.968","1.001","1.025","1.05","0.928","0.84"
"INTL.34-12-AFG-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00001","0.0001","0.0003","0.0003","0.028","0.03","0.032","0.033","0.035","0.038","0.037","0.04"
"INTL.35-12-AFG-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-AFG-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002","0.0002","0.028","0.03","0.032","0.033","0.035","0.038","0.037","0.04"
"INTL.117-12-AFG-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
